timestamp,order_id,pack_date,ship_date,ship_method,number_of_items,box_size,defect_reported
2025-06-02 01:00:00,986a686b-f15e-4dd5-889f-0e420e3b2fe0,2025-06-02 10:00:00,2025-06-02 18:00:00,dhl,4,C,
2025-06-01 20:00:00,23ffb77a-3e04-40b7-a6fd-c49a784346cd,2025-06-02 10:00:00,2025-06-03 09:00:00,fedex,2,B,
2025-06-02 06:00:00,06d11cf1-b85b-4bd5-990c-c55ab7d2c95d,2025-06-02 10:00:00,2025-06-02 19:00:00,usps,3,B,
2025-06-01 13:00:00,1fe01acd-14bf-43a9-822f-f0933a8b2da7,2025-06-02 10:00:00,2025-06-03 01:00:00,usps,3,B,
2025-06-02 05:00:00,ecbd1797-d9ba-43ce-a814-409f7c556a95,2025-06-02 10:00:00,2025-06-03 09:00:00,ups,4,B,
2025-06-01 21:00:00,250dba12-624f-4805-81bf-a2a1effd9cb4,2025-06-02 11:00:00,2025-06-03 07:00:00,fedex,2,C,
2025-06-02 06:00:00,7e4c3753-5da4-46b1-8ff4-38219d2925bd,2025-06-02 11:00:00,2025-06-03 07:00:00,dhl,5,A,
2025-06-02 10:00:00,46139729-8683-4215-8507-872fb7de91dc,2025-06-02 11:00:00,2025-06-03 10:00:00,fedex,2,A,
2025-06-01 22:00:00,2686c699-4b45-40c8-809d-de8ec3e1e888,2025-06-02 11:00:00,2025-06-02 23:00:00,usps,4,C,
2025-06-01 17:00:00,9610939b-70a4-431b-ad62-ffb8cbbb1443,2025-06-02 12:00:00,2025-06-03 06:00:00,fedex,1,A,
2025-06-02 06:00:00,3a1a1098-581b-420d-8e73-74bb45ec0564,2025-06-02 12:00:00,2025-06-03 00:00:00,fedex,2,B,
2025-06-01 20:00:00,6535b3dc-e9a4-4786-85d1-7a9370c4d473,2025-06-02 12:00:00,2025-06-03 00:00:00,ups,3,A,
2025-06-02 02:00:00,92a7f28a-60b2-4ed3-88cc-8ac82c5b1e35,2025-06-02 12:00:00,2025-06-03 03:00:00,dhl,2,A,
2025-06-02 06:00:00,6720cfdd-49f6-4896-bd91-3bc0a1f0da60,2025-06-02 13:00:00,2025-06-03 03:00:00,usps,5,A,
2025-06-02 01:00:00,0587b4da-9450-47dd-b088-1d4f4917266a,2025-06-02 13:00:00,2025-06-02 21:00:00,dhl,4,A,
2025-06-02 04:00:00,849ed829-360e-4fc4-b285-90f6ab53a674,2025-06-02 13:00:00,2025-06-03 01:00:00,usps,4,C,
2025-06-01 20:00:00,b2ebbc04-886a-4732-b96b-a216ac1ea351,2025-06-02 13:00:00,2025-06-02 19:00:00,ups,5,B,
2025-06-02 06:00:00,1b35bc3d-1362-46e5-bf83-43574a60580d,2025-06-02 13:00:00,2025-06-03 05:00:00,dhl,3,A,
2025-06-02 05:00:00,e82926ab-b7bf-4bd5-9b8f-f72be62fa1af,2025-06-02 14:00:00,2025-06-03 13:00:00,ups,3,A,
2025-06-01 23:00:00,9ddb40ed-00fb-4b4a-b9b2-a41bbacee1d0,2025-06-02 14:00:00,2025-06-03 00:00:00,fedex,3,A,
2025-06-01 20:00:00,3afbaef0-5fcb-46d2-a6f2-5dd912a06822,2025-06-02 14:00:00,2025-06-03 03:00:00,dhl,1,A,missing items
2025-06-02 10:00:00,c3db71dd-1cc4-4eca-a30e-0e819564deff,2025-06-02 14:00:00,2025-06-03 06:00:00,fedex,2,B,
2025-06-02 03:00:00,d70d6dbc-3118-4afb-a83f-0abb644dc6a6,2025-06-02 14:00:00,2025-06-03 10:00:00,ups,4,C,
2025-06-01 23:00:00,0901244f-bea8-47c0-9465-e47a7278ea68,2025-06-02 14:00:00,2025-06-03 12:00:00,ups,1,C,
2025-06-01 16:00:00,10613309-f2f4-4f3f-90e3-5869fee82be9,2025-06-02 14:00:00,2025-06-02 20:00:00,usps,1,C,
2025-06-02 13:00:00,f705289b-bc18-4c1c-a928-a0383e0299a0,2025-06-02 14:00:00,2025-06-02 20:00:00,ups,5,B,
2025-06-01 20:00:00,c0765781-77ac-4a27-9edc-6374d1482531,2025-06-02 15:00:00,2025-06-03 14:00:00,ups,2,C,
2025-06-02 09:00:00,65acd749-3d16-486b-a891-14a9cb9f6ce6,2025-06-02 15:00:00,2025-06-03 03:00:00,dhl,1,B,
2025-06-02 07:00:00,89e4740b-d3c9-4b3b-89f6-cd2162ba28ee,2025-06-02 15:00:00,2025-06-03 08:00:00,dhl,1,C,
2025-06-02 01:00:00,ac3119fc-c002-42d1-9540-fd8787a10cf5,2025-06-02 15:00:00,2025-06-03 03:00:00,fedex,5,B,
2025-06-02 00:00:00,7e019e54-06da-42f5-acbd-2f5189752f40,2025-06-02 15:00:00,2025-06-03 07:00:00,ups,4,C,
2025-06-02 06:00:00,3f2575fb-cd88-4d07-a12d-dd1913636b68,2025-06-02 15:00:00,2025-06-02 23:00:00,usps,5,C,
2025-06-02 02:00:00,b21ec89d-e558-41e5-a823-5858ba0411e8,2025-06-02 15:00:00,2025-06-03 06:00:00,fedex,5,A,
2025-06-02 14:00:00,c6ee1142-fa7d-455a-8051-b70c9286d750,2025-06-02 16:00:00,2025-06-03 02:00:00,usps,4,A,
2025-06-02 01:00:00,25cc8233-e3ab-419e-90ee-0921d9403356,2025-06-02 16:00:00,2025-06-03 14:00:00,ups,2,C,missing items
2025-06-02 02:00:00,d7318b4b-ebc9-4055-acdc-ba5cb14d2ee5,2025-06-02 16:00:00,2025-06-03 00:00:00,dhl,1,B,
2025-06-01 23:00:00,c8f94291-18e0-42dc-8566-f9eb50f62578,2025-06-02 16:00:00,2025-06-03 07:00:00,fedex,1,B,
2025-06-02 14:00:00,a952d39a-76f5-42eb-bc42-1215c0b7cc71,2025-06-02 16:00:00,2025-06-03 03:00:00,dhl,4,C,
2025-06-02 09:00:00,e0c08301-6be3-4e19-9d05-f7d3d718c26f,2025-06-03 08:00:00,2025-06-04 01:00:00,fedex,3,C,
2025-06-03 07:00:00,321e5ed7-f702-450e-a3c1-56a2c587a77b,2025-06-03 08:00:00,2025-06-03 19:00:00,dhl,5,A,
2025-06-02 10:00:00,d1a6abe7-ce48-4de7-931e-88919c16b0a6,2025-06-03 08:00:00,2025-06-04 01:00:00,dhl,1,B,
2025-06-02 12:00:00,6b1a7ce8-b047-41a5-a55f-92a80d18df94,2025-06-03 08:00:00,2025-06-03 18:00:00,ups,3,B,
2025-06-02 22:00:00,8e1392e7-322e-4afa-ab38-88c604371ef2,2025-06-03 08:00:00,2025-06-03 18:00:00,fedex,4,A,
2025-06-03 05:00:00,92e12be6-54c6-4697-becc-7eac8cad8bb9,2025-06-03 09:00:00,2025-06-03 23:00:00,fedex,4,B,
2025-06-02 19:00:00,d843dec3-f365-4f1d-be16-1c396b4c05af,2025-06-03 09:00:00,2025-06-04 07:00:00,fedex,3,A,
2025-06-02 21:00:00,1b943eab-3801-446a-b84c-37ef532c5a29,2025-06-03 09:00:00,2025-06-04 05:00:00,dhl,1,B,wrong items
2025-06-03 04:00:00,8c027766-f24c-4f46-a2a0-77068b8a3389,2025-06-03 09:00:00,2025-06-04 01:00:00,usps,3,B,
2025-06-02 12:00:00,d9d84156-9ff5-42cf-81a7-c0abddb6a998,2025-06-03 09:00:00,2025-06-03 16:00:00,ups,3,C,
2025-06-02 22:00:00,db3dd234-067b-434c-9a47-75d8391f4ff4,2025-06-03 10:00:00,2025-06-04 03:00:00,fedex,5,B,
2025-06-02 16:00:00,8aafc498-0e16-4ae4-b3c9-084081e8e68e,2025-06-03 10:00:00,2025-06-04 01:00:00,ups,3,C,
2025-06-03 06:00:00,e431fa25-6d35-417c-bb40-0b6a053092f7,2025-06-03 10:00:00,2025-06-03 17:00:00,ups,2,A,
2025-06-03 09:00:00,ea976ba8-c529-4e78-8b69-369ec50583e2,2025-06-03 10:00:00,2025-06-04 06:00:00,usps,4,B,
2025-06-03 07:00:00,cb325253-9f6c-4f40-9a38-931d1492218f,2025-06-03 10:00:00,2025-06-03 22:00:00,fedex,2,B,
2025-06-03 05:00:00,1da5a478-9135-4640-90d9-77fe975ffc04,2025-06-03 10:00:00,2025-06-04 04:00:00,ups,1,B,
2025-06-03 06:00:00,b6cc1ff6-5cac-4f1a-a550-ac47c20f3633,2025-06-03 10:00:00,2025-06-04 07:00:00,dhl,1,B,
2025-06-03 00:00:00,f157b8da-4670-42cd-9a79-28d5482892e5,2025-06-03 11:00:00,2025-06-04 08:00:00,usps,5,B,
2025-06-03 01:00:00,2e66c1d9-6ae9-4182-b3ac-eb1bd588fd87,2025-06-03 11:00:00,2025-06-04 05:00:00,dhl,3,A,
2025-06-03 04:00:00,7ccb5096-506c-492b-8297-fc51b25a8e66,2025-06-03 12:00:00,2025-06-04 05:00:00,usps,4,C,
2025-06-03 01:00:00,1a651974-3bd6-413c-95e6-e2993defb8c7,2025-06-03 12:00:00,2025-06-03 20:00:00,usps,1,B,
2025-06-03 06:00:00,d8353693-e04a-4a0a-9ef3-4b789f80966d,2025-06-03 12:00:00,2025-06-04 09:00:00,usps,2,A,
2025-06-03 02:00:00,1eadbefd-38e5-4bd6-a085-8eff2b9b259a,2025-06-03 13:00:00,2025-06-03 23:00:00,dhl,4,B,
2025-06-03 11:00:00,8e96513e-69c5-47b5-8bfe-932288ead5c1,2025-06-03 13:00:00,2025-06-04 03:00:00,fedex,3,A,
2025-06-03 01:00:00,e82363b3-08a5-49b0-abb6-c9671656ec73,2025-06-03 13:00:00,2025-06-03 20:00:00,ups,3,C,
2025-06-02 18:00:00,859bb2ec-c622-46e3-8139-3b09c09a99ff,2025-06-03 13:00:00,2025-06-04 08:00:00,dhl,5,A,
2025-06-02 18:00:00,13baa320-6a54-426b-a0fc-853a1236c72a,2025-06-03 14:00:00,2025-06-04 08:00:00,fedex,4,A,
2025-06-03 11:00:00,7ff014c1-7b5e-4f4f-97aa-4d8114c0ead4,2025-06-03 14:00:00,2025-06-04 06:00:00,dhl,4,A,
2025-06-02 20:00:00,0eb0bc23-5097-41c2-8323-e484675c84ac,2025-06-03 15:00:00,2025-06-03 23:00:00,dhl,2,C,
2025-06-02 20:00:00,2e233fa9-3655-4dc8-8ab9-4a35571336dc,2025-06-03 15:00:00,2025-06-04 01:00:00,usps,5,B,
2025-06-03 13:00:00,840d78e9-7f30-4ea7-aee6-a07a2d677755,2025-06-03 16:00:00,2025-06-04 13:00:00,dhl,4,C,
2025-06-03 13:00:00,d399b452-5ac4-4b3f-821c-f2b619b2599c,2025-06-03 16:00:00,2025-06-04 03:00:00,usps,3,B,
2025-06-04 03:00:00,3f65d110-81ac-4104-9343-7b5d4a16406c,2025-06-04 08:00:00,2025-06-05 05:00:00,usps,2,B,
2025-06-03 15:00:00,72d71bac-02ee-4d7a-85f0-1f0a56062b89,2025-06-04 08:00:00,2025-06-04 18:00:00,dhl,2,B,
2025-06-04 04:00:00,567d6b53-7769-4b96-b026-6fd69d9b47fb,2025-06-04 08:00:00,2025-06-05 06:00:00,usps,3,B,
2025-06-03 19:00:00,d56bd78f-1b70-4055-980e-e1a8f2050686,2025-06-04 09:00:00,2025-06-05 05:00:00,fedex,1,C,
2025-06-03 14:00:00,1ef1cd09-eaca-467c-b52c-dd9f6ad3ba96,2025-06-04 09:00:00,2025-06-04 16:00:00,fedex,5,A,
2025-06-04 01:00:00,4c5372fd-1c02-41a7-9dae-2aea8ebebc49,2025-06-04 09:00:00,2025-06-05 02:00:00,dhl,2,A,
2025-06-04 02:00:00,86833be7-cd37-48a5-8154-6e8817f369d7,2025-06-04 10:00:00,2025-06-04 22:00:00,usps,1,C,
2025-06-04 00:00:00,cb2dd297-414c-41aa-b583-abac21979633,2025-06-04 11:00:00,2025-06-05 07:00:00,ups,5,C,
2025-06-04 09:00:00,02df0cf1-b40a-4e80-9384-9929e8dfc12a,2025-06-04 11:00:00,2025-06-05 03:00:00,fedex,5,A,
2025-06-04 02:00:00,c13da4a6-f67e-4fda-a937-b27f27a84c2b,2025-06-04 11:00:00,2025-06-05 06:00:00,dhl,2,A,
2025-06-04 08:00:00,b101d934-6a7e-49bc-8124-06b1dd3cf2be,2025-06-04 11:00:00,2025-06-05 00:00:00,dhl,1,A,
2025-06-04 08:00:00,01f2a4b7-e75f-4111-b53d-ea7657ea80d4,2025-06-04 11:00:00,2025-06-05 10:00:00,usps,1,B,
2025-06-03 18:00:00,17a60306-2c88-4c29-b48d-49a789d29089,2025-06-04 12:00:00,2025-06-05 05:00:00,usps,3,A,
2025-06-03 22:00:00,ac8b3b48-8f3e-412f-93cd-86616daecc5b,2025-06-04 12:00:00,2025-06-04 22:00:00,ups,1,B,
2025-06-03 21:00:00,52651210-39e5-4873-9a42-d4eb3e94038e,2025-06-04 12:00:00,2025-06-05 06:00:00,fedex,5,A,
2025-06-03 22:00:00,002498eb-eb20-4326-95f6-f90cfe3cc2a0,2025-06-04 12:00:00,2025-06-05 04:00:00,usps,4,B,
2025-06-04 06:00:00,caf70cdb-b674-4f68-bb20-f5d09191cf61,2025-06-04 12:00:00,2025-06-04 21:00:00,usps,5,C,
2025-06-04 04:00:00,2bc2b42b-82f3-4f4c-ad8a-21e74ec7e51c,2025-06-04 12:00:00,2025-06-05 08:00:00,dhl,3,A,poorly packed
2025-06-04 11:00:00,a7550869-0867-41fd-93be-416e03e0e2c5,2025-06-04 13:00:00,2025-06-04 22:00:00,ups,5,C,
2025-06-04 11:00:00,36710330-e6ac-4bb2-8aee-951409c21798,2025-06-04 13:00:00,2025-06-04 19:00:00,ups,4,A,
2025-06-04 03:00:00,95a373fe-b154-435c-94a7-236a17bee286,2025-06-04 13:00:00,2025-06-05 10:00:00,dhl,1,A,
2025-06-04 02:00:00,f8a6d9c3-3ec2-4729-a23a-671ac10c7eb0,2025-06-04 13:00:00,2025-06-04 23:00:00,usps,1,A,
2025-06-03 15:00:00,c1267dc5-48c8-4afb-a511-435bc56f9ccf,2025-06-04 13:00:00,2025-06-04 19:00:00,dhl,4,B,
2025-06-04 05:00:00,ad10da05-60f7-4171-a08d-a383d70f466c,2025-06-04 13:00:00,2025-06-04 23:00:00,fedex,2,B,
2025-06-04 00:00:00,aa7a7b72-fadc-461e-b505-b6d6c2f63290,2025-06-04 14:00:00,2025-06-05 12:00:00,dhl,2,A,
2025-06-04 03:00:00,70106bc1-9b47-4ff5-8dd9-663cce6b458e,2025-06-04 14:00:00,2025-06-04 22:00:00,ups,2,B,
2025-06-04 08:00:00,6cf27cf5-b4d0-43dd-bf32-4f5c3e91bf23,2025-06-04 15:00:00,2025-06-05 12:00:00,dhl,3,B,
2025-06-04 11:00:00,c4278cb5-ed82-4bac-9b60-73e54541baed,2025-06-04 15:00:00,2025-06-04 23:00:00,fedex,2,B,
2025-06-03 20:00:00,d0f978a4-a050-4881-8f67-5d6cf1c4a2fa,2025-06-04 15:00:00,2025-06-05 00:00:00,ups,4,C,
2025-06-03 18:00:00,b7fa6e25-8269-4a60-a0a4-b90a37bad3d7,2025-06-04 15:00:00,2025-06-05 04:00:00,fedex,5,A,
2025-06-04 09:00:00,8bed118a-889f-4cde-847b-4484e2349af4,2025-06-04 16:00:00,2025-06-04 22:00:00,dhl,1,C,
2025-06-04 00:00:00,af5cf963-2c87-4ad8-bba6-e87405c82037,2025-06-04 16:00:00,2025-06-05 05:00:00,ups,3,B,
2025-06-05 00:00:00,fb5dbe29-18cf-4779-a619-8217dde63107,2025-06-05 08:00:00,2025-06-05 23:00:00,ups,5,C,
2025-06-05 06:00:00,56be7dc5-5eec-4d33-b21c-3aa4e2eab67b,2025-06-05 08:00:00,2025-06-05 15:00:00,usps,5,C,
2025-06-05 00:00:00,cd2db99b-e49b-492b-ac5b-39fa75e3e26f,2025-06-05 08:00:00,2025-06-06 01:00:00,fedex,5,A,
2025-06-05 00:00:00,f12aef26-6ba7-4ad2-abb2-56abf77d2a87,2025-06-05 08:00:00,2025-06-05 19:00:00,usps,2,C,
2025-06-05 04:00:00,6dce956c-d435-4c29-9164-852cc5f395f7,2025-06-05 09:00:00,2025-06-05 15:00:00,usps,2,B,
2025-06-04 10:00:00,9999a06d-12bd-4d75-a84a-6fbe23f00b5d,2025-06-05 09:00:00,2025-06-05 16:00:00,ups,1,A,poorly packed
2025-06-04 20:00:00,7f86d91e-2abe-4688-bc36-1f2315837a85,2025-06-05 09:00:00,2025-06-05 23:00:00,dhl,3,B,
2025-06-05 09:00:00,e91e71d2-8828-4443-a7cb-063aeecd2e64,2025-06-05 10:00:00,2025-06-05 18:00:00,fedex,5,B,
2025-06-04 21:00:00,dc70529a-f46a-4de6-b086-fbd06a9ce98b,2025-06-05 10:00:00,2025-06-06 03:00:00,fedex,4,A,
2025-06-04 23:00:00,52ff70ac-4f25-4d92-886f-9f4f3e7c352d,2025-06-05 10:00:00,2025-06-05 22:00:00,ups,4,C,
2025-06-04 15:00:00,b5a4f862-3483-4af8-bb25-6ded1ea74f12,2025-06-05 11:00:00,2025-06-05 21:00:00,fedex,4,A,
2025-06-04 21:00:00,7ca80a88-ede3-4bb5-8311-4160e3c2afa9,2025-06-05 11:00:00,2025-06-05 17:00:00,dhl,1,B,
2025-06-04 18:00:00,c3d9f64b-4ce1-4316-b6d6-ee7bc779ec82,2025-06-05 11:00:00,2025-06-05 18:00:00,dhl,2,B,
2025-06-04 12:00:00,ac7ae306-2019-4558-aab5-8c0401adf44f,2025-06-05 11:00:00,2025-06-06 05:00:00,usps,2,B,
2025-06-04 18:00:00,aeb39dfc-ca92-4e5f-a154-f78b2d14fae9,2025-06-05 12:00:00,2025-06-05 23:00:00,ups,1,C,
2025-06-05 01:00:00,02138681-6ce2-4b28-bcf8-24a5c04fcd78,2025-06-05 12:00:00,2025-06-06 00:00:00,ups,5,A,
2025-06-05 06:00:00,df0f7942-816c-4d60-bab3-bb5a9764c7bb,2025-06-05 12:00:00,2025-06-06 10:00:00,fedex,5,C,
2025-06-05 01:00:00,f97573a0-1ea9-4063-961d-6e9491fb2ed4,2025-06-05 12:00:00,2025-06-06 00:00:00,fedex,4,B,
2025-06-04 22:00:00,1609853d-6342-45c8-b8b9-04d5d8b16d7f,2025-06-05 12:00:00,2025-06-06 07:00:00,dhl,1,A,
2025-06-04 18:00:00,38c7555c-965d-4d19-b920-28960d10efd1,2025-06-05 13:00:00,2025-06-05 20:00:00,fedex,3,A,
2025-06-05 05:00:00,cbc90015-b087-4e29-9162-ac209ece75d5,2025-06-05 13:00:00,2025-06-06 07:00:00,ups,3,A,
2025-06-05 08:00:00,6cac51a1-aadc-43b7-9c6b-183035ab12b8,2025-06-05 13:00:00,2025-06-05 23:00:00,fedex,4,A,
2025-06-04 18:00:00,962d6741-86c6-4cb1-b9a5-512ea051841c,2025-06-05 13:00:00,2025-06-06 11:00:00,dhl,5,B,
2025-06-05 07:00:00,d1c520fc-4b46-45cb-9a93-087b1cea0529,2025-06-05 13:00:00,2025-06-06 07:00:00,ups,4,B,
2025-06-05 09:00:00,d21d1f45-ac65-46b8-aa61-2ba33ce225b6,2025-06-05 14:00:00,2025-06-06 07:00:00,dhl,4,C,
2025-06-04 20:00:00,c3bd1e5e-db5d-42df-8edf-bc62d0d09d28,2025-06-05 14:00:00,2025-06-06 09:00:00,fedex,3,B,
2025-06-05 03:00:00,d8530a23-d0dd-4e1e-b75f-134c5f48e682,2025-06-05 15:00:00,2025-06-06 09:00:00,usps,3,B,missing items
2025-06-05 01:00:00,c7bd60fd-ad70-4fab-91ab-019e785d783a,2025-06-05 15:00:00,2025-06-06 14:00:00,dhl,4,A,
2025-06-05 08:00:00,d36a7580-7c57-4d96-a511-3800f594b3a1,2025-06-05 15:00:00,2025-06-05 21:00:00,ups,3,A,
2025-06-05 14:00:00,791619fc-7ae4-42ca-9b18-7e7bf83ae596,2025-06-05 15:00:00,2025-06-06 00:00:00,fedex,4,B,
2025-06-05 04:00:00,1113e972-8ec6-42f5-bd5d-c121d930476a,2025-06-05 15:00:00,2025-06-06 10:00:00,dhl,5,A,missing items
2025-06-05 09:00:00,6dbbacbb-cd32-4797-bdf9-aaf45e85b8fd,2025-06-05 15:00:00,2025-06-06 10:00:00,ups,4,C,
2025-06-05 13:00:00,bb653692-6854-4dc0-b41c-87db4253bca1,2025-06-05 15:00:00,2025-06-06 01:00:00,ups,5,A,
2025-06-05 13:00:00,baab8b30-d21d-458b-8e0e-18144a661f84,2025-06-05 16:00:00,2025-06-06 11:00:00,ups,5,C,
2025-06-05 08:00:00,450e09f4-99a8-43b9-945c-ca0a6512dcf7,2025-06-05 16:00:00,2025-06-06 15:00:00,fedex,5,B,
2025-06-04 19:00:00,8c7735e8-c11d-4125-a36d-6c8ed2fe30fe,2025-06-05 16:00:00,2025-06-06 09:00:00,fedex,1,B,
2025-06-05 15:00:00,d9c81391-f6ba-45a2-964b-016e7f40fdc9,2025-06-05 16:00:00,2025-06-06 06:00:00,ups,3,B,
2025-06-05 22:00:00,54e14efd-a51b-4b94-8a20-916ceed87aab,2025-06-06 08:00:00,2025-06-06 20:00:00,fedex,4,C,
2025-06-06 03:00:00,2226fb78-b0a1-4271-8488-3e85fcd75a30,2025-06-06 08:00:00,2025-06-06 21:00:00,fedex,3,A,
2025-06-05 15:00:00,722381e6-42c6-459c-b0ce-dd920bdfd888,2025-06-06 08:00:00,2025-06-06 23:00:00,ups,3,B,
2025-06-05 10:00:00,d67890d6-3d64-4709-83d8-cef012a450e8,2025-06-06 08:00:00,2025-06-06 22:00:00,fedex,4,B,
2025-06-05 20:00:00,d4f7b924-8975-4890-84e2-12c1a21f2158,2025-06-06 08:00:00,2025-06-07 00:00:00,usps,5,C,
